Epoch JD,Date UTC,Semi-major axis au,Eccentricity,Inclination degrees,Longitude of asc. node degrees,Argument of periapsis degrees,Mean Anomaly degrees,True Anomaly degrees
2458156.625,2018-02-07 03:00:00,2.44879799641866,0.600422201394974,4.15010992538926,317.972659740072,168.241049197473,2.3720072945384,11.8172228807702
2458157.625,2018-02-08 03:00:00,1.36470140973744,0.277464114187564,1.17934552779453,317.609911805016,177.185973782193,2.3847727466653,4.38680055284641
2458158.625,2018-02-09 03:00:00,1.34592570506216,0.267372476750442,1.12496944362998,317.513493593121,177.26586549701,3.0859775642472,5.53649435423195
2458162.5,2018-02-13 00:00:00,1.33195706138104,0.259689973146968,1.09298578301891,317.388700469521,177.307782527862,5.6783470418956,9.98451122942363
2458164.5,2018-02-15 00:00:00,1.3299832875795,0.25859234911316,1.0886372575693,317.35526975271,177.32059503846,6.9906618977073,12.246609383729
2458165.5,2018-02-16 00:00:00,1.3293210084233,0.25822340533991,1.0871829311674,317.3416095658,177.32623769451,7.6446063174718,13.37227444456
2458166.5,2018-02-17 00:00:00,1.3287897342239,0.25792720559763,1.0860176377317,317.32939394017,177.33148770153,8.2975673792028,14.494663942385
2458167.5,2018-02-18 00:00:00,1.3283542262094,0.25768423671462,1.0850631112249,317.3183428774,177.33640410291,8.9497648645488,15.613865028459
2458168.5,2018-02-19 00:00:00,1.3279908797954,0.25748140928726,1.0842671025525,317.30825118835,177.34103306918,9.6013534447762,16.729898470056
2458169.5,2018-02-20 00:00:00,1.3276880024438,0.25731226327336,1.0836022924631,317.29906677021,177.34531976232,10.252376709258,17.842735453277
2458170.5,2018-02-21 00:00:00,1.3274243845235,0.25716495545341,1.083024924069,317.29046439081,177.34947826186,10.903052868274,18.952338409191
2458171.5,2018-02-22 00:00:00,1.3271960836333,0.25703731854279,1.0825248493676,317.28245195247,177.35344203567,11.553380845442,20.058629389433
2458172.5,2018-02-23 00:00:00,1.3269965805928,0.25692572400583,1.0820877438072,317.2749533393,177.35723240127,12.203410718664,21.161524567374
2458173.5,2018-02-24 00:00:00,1.3268208744033,0.25682738648056,1.0817026280911,317.26790640708,177.36086756201,12.853182189137,22.260931261688
2458174.5,2018-02-25 00:00:00,1.3266650640602,0.25674013193476,1.0813609430192,317.26125974166,177.36436322837,13.502727187144,23.356750995088
2458175.5,2018-02-26 00:00:00,1.3265260616991,0.25666223849845,1.0810559164053,317.25497032051,177.36773308226,14.152071709244,24.448881711639
2458176.5,2018-02-27 00:00:00,1.3264013913574,0.25659232471915,1.0807821200162,317.24900179991,177.37098912161,14.801237140179,25.537219419091
2458177.5,2018-02-28 00:00:00,1.3262890449273,0.25652926952807,1.0805351532096,317.24332324416,177.37414191131,15.450241223131,26.621659431256
2458178.5,2018-03-01 00:00:00,1.3260971032012,0.25642233364569,1.0801050752211,317.23732917001,177.37632770735,16.101627389267,27.703150195534
2458179.5,2018-03-02 00:00:00,1.3260048147938,0.25637048888335,1.0799015076708,317.23215181328,177.3792570877,16.750441659892,28.779514106104
2458180.5,2018-03-03 00:00:00,1.3259207142705,0.25632319367919,1.0797157186863,317.22719565527,177.38210846135,17.399131742286,29.851670628211
2458181.5,2018-03-04 00:00:00,1.3258438481944,0.2562799143642,1.0795456286028,317.22244368942,177.38488807286,18.047706634263,30.919520137932
2458182.5,2018-03-05 00:00:00,1.3257734093141,0.25624019885919,1.0793894799813,317.2178811391,177.38760132812,18.69617406888,31.982965542454
2458183.5,2018-03-06 00:00:00,1.3257087092419,0.25620366148204,1.0792457768719,317.21349509837,177.39025289813,19.344540750395,33.041912601887
2458184.5,2018-03-07 00:00:00,1.3256491569549,0.2561699709838,1.0791132368092,317.20927422476,177.39284682488,19.99281254286,34.096270182025
2458185.5,2018-03-08 00:00:00,1.325594241806,0.25613884108573,1.0789907528448,317.20520848352,177.39538662051,20.640994618198,35.145950449048
2458186.5,2018-03-09 00:00:00,1.3255435200378,0.25611002296014,1.078877363504,317.20128894093,177.39787535221,21.289091571107,36.19086901717
2458187.5,2018-03-10 00:00:00,1.3254966040069,0.25608329921955,1.0787722289344,317.19750760116,177.40031570972,21.937107508068,37.23094505916
2458188.5,2018-03-11 00:00:00,1.3254531535036,0.25605847907265,1.078674611839,317.19385727856,177.40271005628,22.585046116989,38.266101387672
2458189.5,2018-03-12 00:00:00,1.3254128686875,0.25603539438314,1.0785838620767,317.19033149732,177.40506046621,23.232910722666,39.296264513222
2458190.5,2018-03-13 00:00:00,1.3253754842797,0.25601389642922,1.0784994040797,317.18692441082,177.40736875312,23.88070433203,40.321364682948
2458191.5,2018-03-14 00:00:00,1.3253407647345,0.25599385320999,1.0784207264451,317.18363073504,177.40963649218,24.528429672147,41.341335903244
2458192.5,2018-03-15 00:00:00,1.3253085001807,0.25597514718119,1.0783473732282,317.18044569152,177.41186503848,25.176089223589,42.356115949102
2458193.5,2018-03-16 00:00:00,1.3252785029901,0.25595767334005,1.0782789365861,317.17736495686,177.41405554394,25.823685249864,43.365646361313
2458194.5,2018-03-17 00:00:00,1.3252506048443,0.2559413375878,1.0782150505092,317.1743846166,177.41620897322,26.471219824763,44.36987243378
2458195.5,2018-03-18 00:00:00,1.3252246542185,0.25592605532442,1.0781553854383,317.17150112197,177.41832611961,27.118694857894,45.368743191898
2458196.5,2018-03-19 00:00:00,1.3252005142127,0.25591175023747,1.0780996436187,317.16871124864,177.42040762132,27.766112118757,46.362211362996
2458197.5,2018-03-20 00:00:00,1.3251780606812,0.25589835325654,1.0780475550775,317.16601205723,177.42245397839,28.413473259197,47.350233339229
